occupation_title,soc_code,median_wage,employment,cluster_v2,cluster_name
Emergency Management Directors,11-9161,93330.0,13500.0,3,Business & Operations Management
Funeral Home Managers,11-9171,78790.0,13910.0,1,Mid-Wage Financial & Analytical Specialists
"Personal Service Managers, All Other",11-9179,69770.0,10450.0,3,Business & Operations Management
"Managers, All Other",11-9199,141900.0,622190.0,3,Business & Operations Management
"Agents and Business Managers of Artists, Performers, and Athletes",13-1011,82890.0,12620.0,1,Mid-Wage Financial & Analytical Specialists
"Claims Adjusters, Examiners, and Investigators",13-1031,78000.0,324230.0,3,Business & Operations Management
"Insurance Appraisers, Auto Damage",13-1032,78240.0,11560.0,1,Mid-Wage Financial & Analytical Specialists
Compliance Officers,13-1041,80730.0,417070.0,3,Business & Operations Management
Cost Estimators,13-1051,78740.0,224220.0,1,Mid-Wage Financial & Analytical Specialists
Human Resources Specialists,13-1071,75940.0,912430.0,3,Business & Operations Management
Farm Labor Contractors,13-1074,58460.0,310.0,0,Niche/Specialized Lower-Mid Wage Roles
Labor Relations Specialists,13-1075,95420.0,64810.0,3,Business & Operations Management
Logisticians,13-1081,82320.0,251040.0,3,Business & Operations Management
Project Management Specialists,13-1082,102320.0,1066670.0,3,Business & Operations Management
Management Analysts,13-1111,101860.0,898280.0,3,Business & Operations Management
"Meeting, Convention, and Event Planners",13-1121,61160.0,142860.0,3,Business & Operations Management
Fundraisers,13-1131,72550.0,111040.0,3,Business & Operations Management
"Compensation, Benefits, and Job Analysis Specialists",13-1141,78210.0,112380.0,3,Business & Operations Management
Training and Development Specialists,13-1151,69280.0,458300.0,3,Business & Operations Management
Market Research Analysts and Marketing Specialists,13-1161,78760.0,899580.0,3,Business & Operations Management
"Business Operations Specialists, All Other",13-1199,83050.0,1087090.0,3,Business & Operations Management
Accountants and Auditors,13-2011,83680.0,1449500.0,1,Mid-Wage Financial & Analytical Specialists
Budget Analysts,13-2031,91640.0,47160.0,1,Mid-Wage Financial & Analytical Specialists
Credit Analysts,13-2041,83510.0,64390.0,1,Mid-Wage Financial & Analytical Specialists
Personal Financial Advisors,13-2052,105070.0,266800.0,3,Business & Operations Management
Insurance Underwriters,13-2053,81370.0,105420.0,1,Mid-Wage Financial & Analytical Specialists
Financial Examiners,13-2061,94160.0,67830.0,3,Business & Operations Management
Credit Counselors,13-2071,52230.0,27770.0,3,Business & Operations Management
Loan Officers,13-2072,76690.0,274330.0,1,Mid-Wage Financial & Analytical Specialists
"Tax Examiners and Collectors, and Revenue Agents",13-2081,62370.0,56610.0,3,Business & Operations Management
Tax Preparers,13-2082,54920.0,76480.0,1,Mid-Wage Financial & Analytical Specialists
"Financial Specialists, All Other",13-2099,81100.0,132130.0,4,Quantitative/Technical Specialists & Managers
Computer Systems Analysts,15-1211,105850.0,519530.0,3,Business & Operations Management
Information Security Analysts,15-1212,129180.0,190650.0,3,Business & Operations Management
Computer and Information Research Scientists,15-1221,140300.0,37200.0,4,Quantitative/Technical Specialists & Managers
Computer Network Support Specialists,15-1231,76220.0,146190.0,1,Mid-Wage Financial & Analytical Specialists
Computer User Support Specialists,15-1232,61860.0,717190.0,3,Business & Operations Management
Computer Network Architects,15-1241,134050.0,179740.0,3,Business & Operations Management
Database Administrators,15-1242,104620.0,69990.0,1,Mid-Wage Financial & Analytical Specialists
Database Architects,15-1243,139500.0,67140.0,1,Mid-Wage Financial & Analytical Specialists
Network and Computer Systems Administrators,15-1244,99130.0,314340.0,3,Business & Operations Management
Computer Programmers,15-1251,100390.0,92230.0,1,Mid-Wage Financial & Analytical Specialists
Software Developers,15-1252,135980.0,1687890.0,1,Mid-Wage Financial & Analytical Specialists
Software Quality Assurance Analysts and Testers,15-1253,104300.0,186740.0,3,Business & Operations Management
Web Developers,15-1254,92650.0,70190.0,1,Mid-Wage Financial & Analytical Specialists
Web and Digital Interface Designers,15-1255,104000.0,113330.0,1,Mid-Wage Financial & Analytical Specialists
"Computer Occupations, All Other",15-1299,116580.0,435370.0,1,Mid-Wage Financial & Analytical Specialists
Actuaries,15-2011,130000.0,26670.0,4,Quantitative/Technical Specialists & Managers
Mathematicians,15-2021,126710.0,2030.0,4,Quantitative/Technical Specialists & Managers
Operations Research Analysts,15-2031,88940.0,108510.0,4,Quantitative/Technical Specialists & Managers
Statisticians,15-2041,105650.0,29030.0,4,Quantitative/Technical Specialists & Managers
Data Scientists,15-2051,120230.0,262440.0,4,Quantitative/Technical Specialists & Managers
"Mathematical Science Occupations, All Other",15-2099,81490.0,3720.0,4,Quantitative/Technical Specialists & Managers
"Architects, Except Landscape and Naval",17-1011,99280.0,106770.0,4,Quantitative/Technical Specialists & Managers
Landscape Architects,17-1012,79870.0,19600.0,4,Quantitative/Technical Specialists & Managers
Cartographers and Photogrammetrists,17-1021,81390.0,14260.0,1,Mid-Wage Financial & Analytical Specialists
Surveyors,17-1022,75440.0,50830.0,4,Quantitative/Technical Specialists & Managers
Aerospace Engineers,17-2011,134960.0,67710.0,4,Quantitative/Technical Specialists & Managers
Agricultural Engineers,17-2021,98590.0,1480.0,4,Quantitative/Technical Specialists & Managers
Bioengineers and Biomedical Engineers,17-2031,109370.0,23480.0,4,Quantitative/Technical Specialists & Managers
Chemical Engineers,17-2041,125040.0,21070.0,4,Quantitative/Technical Specialists & Managers
Civil Engineers,17-2051,100840.0,367840.0,4,Quantitative/Technical Specialists & Managers
Computer Hardware Engineers,17-2061,161740.0,76660.0,4,Quantitative/Technical Specialists & Managers
Electrical Engineers,17-2071,120630.0,198750.0,4,Quantitative/Technical Specialists & Managers
"Electronics Engineers, Except Computer",17-2072,130220.0,96900.0,4,Quantitative/Technical Specialists & Managers
Environmental Engineers,17-2081,107110.0,38340.0,4,Quantitative/Technical Specialists & Managers
"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",17-2111,115160.0,21450.0,4,Quantitative/Technical Specialists & Managers
Industrial Engineers,17-2112,102440.0,365740.0,3,Business & Operations Management
Marine Engineers and Naval Architects,17-2121,112230.0,8250.0,4,Quantitative/Technical Specialists & Managers
Materials Engineers,17-2131,112860.0,22770.0,4,Quantitative/Technical Specialists & Managers
Mechanical Engineers,17-2141,104110.0,296810.0,4,Quantitative/Technical Specialists & Managers
"Mining and Geological Engineers, Including Mining Safety Engineers",17-2151,106220.0,6080.0,4,Quantitative/Technical Specialists & Managers
Nuclear Engineers,17-2161,133970.0,15280.0,4,Quantitative/Technical Specialists & Managers
Petroleum Engineers,17-2171,144910.0,18060.0,4,Quantitative/Technical Specialists & Managers
"Engineers, All Other",17-2199,122930.0,154070.0,4,Quantitative/Technical Specialists & Managers
Architectural and Civil Drafters,17-3011,66150.0,103700.0,1,Mid-Wage Financial & Analytical Specialists
Electrical and Electronics Drafters,17-3012,76870.0,17920.0,1,Mid-Wage Financial & Analytical Specialists
Mechanical Drafters,17-3013,71550.0,39960.0,1,Mid-Wage Financial & Analytical Specialists
Aerospace Engineering and Operations Technologists and Technicians,17-3021,82890.0,11280.0,4,Quantitative/Technical Specialists & Managers
Civil Engineering Technologists and Technicians,17-3022,64950.0,68520.0,1,Mid-Wage Financial & Analytical Specialists
Electrical and Electronic Engineering Technologists and Technicians,17-3023,78190.0,95130.0,1,Mid-Wage Financial & Analytical Specialists
Electro-Mechanical and Mechatronics Technologists and Technicians,17-3024,73900.0,15520.0,1,Mid-Wage Financial & Analytical Specialists
Environmental Engineering Technologists and Technicians,17-3025,59920.0,12190.0,4,Quantitative/Technical Specialists & Managers
Industrial Engineering Technologists and Technicians,17-3026,66120.0,75570.0,1,Mid-Wage Financial & Analytical Specialists
Mechanical Engineering Technologists and Technicians,17-3027,74510.0,36190.0,4,Quantitative/Technical Specialists & Managers
"Engineering Technologists and Technicians, Except Drafters, All Other",17-3029,78350.0,59930.0,1,Mid-Wage Financial & Analytical Specialists
Surveying and Mapping Technicians,17-3031,54240.0,58010.0,1,Mid-Wage Financial & Analytical Specialists
Animal Scientists,19-1011,68940.0,3100.0,4,Quantitative/Technical Specialists & Managers
Food Scientists and Technologists,19-1012,88720.0,13060.0,4,Quantitative/Technical Specialists & Managers
Soil and Plant Scientists,19-1013,78850.0,15730.0,4,Quantitative/Technical Specialists & Managers
Biochemists and Biophysicists,19-1021,127410.0,33830.0,4,Quantitative/Technical Specialists & Managers
Microbiologists,19-1022,87990.0,18940.0,4,Quantitative/Technical Specialists & Managers
Zoologists and Wildlife Biologists,19-1023,76780.0,18120.0,4,Quantitative/Technical Specialists & Managers
"Biological Scientists, All Other",19-1029,98920.0,55850.0,4,Quantitative/Technical Specialists & Managers
Conservation Scientists,19-1031,73010.0,25950.0,4,Quantitative/Technical Specialists & Managers
Foresters,19-1032,76400.0,10430.0,4,Quantitative/Technical Specialists & Managers
Epidemiologists,19-1041,87220.0,12090.0,4,Quantitative/Technical Specialists & Managers
"Medical Scientists, Except Epidemiologists",19-1042,103410.0,172340.0,4,Quantitative/Technical Specialists & Managers
Astronomers,19-2011,128820.0,2120.0,4,Quantitative/Technical Specialists & Managers
Physicists,19-2012,172250.0,20430.0,4,Quantitative/Technical Specialists & Managers
Atmospheric and Space Scientists,19-2021,99070.0,10000.0,4,Quantitative/Technical Specialists & Managers
Chemists,19-2031,91240.0,82770.0,4,Quantitative/Technical Specialists & Managers
Materials Scientists,19-2032,117790.0,8470.0,4,Quantitative/Technical Specialists & Managers
"Environmental Scientists and Specialists, Including Health",19-2041,82220.0,89250.0,4,Quantitative/Technical Specialists & Managers
"Geoscientists, Except Hydrologists and Geographers",19-2042,101920.0,23470.0,4,Quantitative/Technical Specialists & Managers
Hydrologists,19-2043,96600.0,5850.0,4,Quantitative/Technical Specialists & Managers
"Physical Scientists, All Other",19-2099,122570.0,22300.0,4,Quantitative/Technical Specialists & Managers
Economists,19-3011,124720.0,17790.0,4,Quantitative/Technical Specialists & Managers
Survey Researchers,19-3022,69460.0,8290.0,4,Quantitative/Technical Specialists & Managers
Industrial-Organizational Psychologists,19-3032,193950.0,790.0,4,Quantitative/Technical Specialists & Managers
Clinical and Counseling Psychologists,19-3033,100580.0,75990.0,3,Business & Operations Management
School Psychologists,19-3034,95990.0,63940.0,3,Business & Operations Management
"Psychologists, All Other",19-3039,110840.0,18820.0,4,Quantitative/Technical Specialists & Managers
Sociologists,19-3041,106030.0,2260.0,4,Quantitative/Technical Specialists & Managers
Urban and Regional Planners,19-3051,89320.0,44230.0,4,Quantitative/Technical Specialists & Managers
Anthropologists and Archeologists,19-3091,70770.0,8990.0,4,Quantitative/Technical Specialists & Managers
Geographers,19-3092,102040.0,1400.0,4,Quantitative/Technical Specialists & Managers
Historians,19-3093,76750.0,3450.0,4,Quantitative/Technical Specialists & Managers
Political Scientists,19-3094,142080.0,5540.0,4,Quantitative/Technical Specialists & Managers
"Social Scientists and Related Workers, All Other",19-3099,101110.0,37100.0,4,Quantitative/Technical Specialists & Managers
Agricultural Technicians,19-4012,49630.0,15130.0,1,Mid-Wage Financial & Analytical Specialists
Food Science Technicians,19-4013,52130.0,14600.0,1,Mid-Wage Financial & Analytical Specialists
Biological Technicians,19-4021,57510.0,69620.0,4,Quantitative/Technical Specialists & Managers
Chemical Technicians,19-4031,60390.0,57540.0,4,Quantitative/Technical Specialists & Managers
"Environmental Science and Protection Technicians, Including Health",19-4042,55090.0,34670.0,4,Quantitative/Technical Specialists & Managers
"Geological Technicians, Except Hydrologic Technicians",19-4043,53350.0,6980.0,1,Mid-Wage Financial & Analytical Specialists
Nuclear Technicians,19-4051,110240.0,6470.0,1,Mid-Wage Financial & Analytical Specialists
Social Science Research Assistants,19-4061,61990.0,30640.0,4,Quantitative/Technical Specialists & Managers
Forest and Conservation Technicians,19-4071,54560.0,30410.0,1,Mid-Wage Financial & Analytical Specialists
Forensic Science Technicians,19-4092,72060.0,19120.0,4,Quantitative/Technical Specialists & Managers
"Life, Physical, and Social Science Technicians, All Other",19-4099,62280.0,73910.0,1,Mid-Wage Financial & Analytical Specialists
Occupational Health and Safety Specialists,19-5011,90150.0,140610.0,3,Business & Operations Management
Occupational Health and Safety Technicians,19-5012,61560.0,30590.0,3,Business & Operations Management
"Educational, Guidance, and Career Counselors and Advisors",21-1012,64330.0,353310.0,3,Business & Operations Management
Marriage and Family Therapists,21-1013,66940.0,66740.0,3,Business & Operations Management
Rehabilitation Counselors,21-1015,46850.0,94740.0,3,Business & Operations Management
"Child, Family, and School Social Workers",21-1021,59550.0,392550.0,3,Business & Operations Management
Healthcare Social Workers,21-1022,67880.0,187630.0,3,Business & Operations Management
Mental Health and Substance Abuse Social Workers,21-1023,60280.0,132810.0,3,Business & Operations Management
Health Education Specialists,21-1091,64070.0,65690.0,3,Business & Operations Management
Probation Officers and Correctional Treatment Specialists,21-1092,66270.0,89390.0,3,Business & Operations Management
Social and Human Service Assistants,21-1093,45930.0,437860.0,3,Business & Operations Management
Community Health Workers,21-1094,51850.0,61660.0,3,Business & Operations Management
Clergy,21-2011,60810.0,57200.0,3,Business & Operations Management
"Directors, Religious Activities and Education",21-2021,52100.0,22160.0,3,Business & Operations Management
Lawyers,23-1011,159670.0,754500.0,3,Business & Operations Management
Judicial Law Clerks,23-1012,64920.0,13290.0,3,Business & Operations Management
"Administrative Law Judges, Adjudicators, and Hearing Officers",23-1021,117860.0,16370.0,3,Business & Operations Management
"Arbitrators, Mediators, and Conciliators",23-1022,75530.0,9210.0,3,Business & Operations Management
"Judges, Magistrate Judges, and Magistrates",23-1023,153990.0,24030.0,3,Business & Operations Management
Paralegals and Legal Assistants,23-2011,62890.0,392880.0,1,Mid-Wage Financial & Analytical Specialists
"Title Examiners, Abstractors, and Searchers",23-2093,58650.0,48580.0,1,Mid-Wage Financial & Analytical Specialists
"Business Teachers, Postsecondary",25-1011,99080.0,82150.0,3,Business & Operations Management
"Computer Science Teachers, Postsecondary",25-1021,96980.0,35480.0,4,Quantitative/Technical Specialists & Managers
"Mathematical Science Teachers, Postsecondary",25-1022,79940.0,47670.0,4,Quantitative/Technical Specialists & Managers
"Architecture Teachers, Postsecondary",25-1031,96870.0,7700.0,4,Quantitative/Technical Specialists & Managers
"Engineering Teachers, Postsecondary",25-1032,109270.0,40270.0,4,Quantitative/Technical Specialists & Managers
"Agricultural Sciences Teachers, Postsecondary",25-1041,98700.0,8920.0,4,Quantitative/Technical Specialists & Managers
"Biological Science Teachers, Postsecondary",25-1042,84620.0,50190.0,4,Quantitative/Technical Specialists & Managers
"Forestry and Conservation Science Teachers, Postsecondary",25-1043,101420.0,1520.0,4,Quantitative/Technical Specialists & Managers
"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",25-1051,103170.0,9900.0,4,Quantitative/Technical Specialists & Managers
"Chemistry Teachers, Postsecondary",25-1052,93250.0,19980.0,4,Quantitative/Technical Specialists & Managers
"Environmental Science Teachers, Postsecondary",25-1053,94980.0,6690.0,4,Quantitative/Technical Specialists & Managers
"Physics Teachers, Postsecondary",25-1054,100310.0,13090.0,4,Quantitative/Technical Specialists & Managers
"Anthropology and Archeology Teachers, Postsecondary",25-1061,99650.0,5240.0,4,Quantitative/Technical Specialists & Managers
"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",25-1062,85020.0,11300.0,3,Business & Operations Management
"Economics Teachers, Postsecondary",25-1063,123920.0,11560.0,4,Quantitative/Technical Specialists & Managers
"Geography Teachers, Postsecondary",25-1064,97590.0,3330.0,4,Quantitative/Technical Specialists & Managers
"Political Science Teachers, Postsecondary",25-1065,98070.0,16970.0,3,Business & Operations Management
"Psychology Teachers, Postsecondary",25-1066,80340.0,41530.0,4,Quantitative/Technical Specialists & Managers
"Sociology Teachers, Postsecondary",25-1067,84290.0,11850.0,3,Business & Operations Management
"Health Specialties Teachers, Postsecondary",25-1071,107310.0,221270.0,4,Quantitative/Technical Specialists & Managers
"Nursing Instructors and Teachers, Postsecondary",25-1072,80250.0,77960.0,3,Business & Operations Management
"Education Teachers, Postsecondary",25-1081,75350.0,60830.0,3,Business & Operations Management
"Library Science Teachers, Postsecondary",25-1082,80340.0,3630.0,3,Business & Operations Management
"Criminal Justice and Law Enforcement Teachers, Postsecondary",25-1111,76590.0,13150.0,3,Business & Operations Management
"Law Teachers, Postsecondary",25-1112,128500.0,20060.0,3,Business & Operations Management
"Social Work Teachers, Postsecondary",25-1113,77570.0,12610.0,3,Business & Operations Management
"Art, Drama, and Music Teachers, Postsecondary",25-1121,78620.0,93560.0,3,Business & Operations Management
"Communications Teachers, Postsecondary",25-1122,78580.0,29420.0,3,Business & Operations Management
"English Language and Literature Teachers, Postsecondary",25-1123,78760.0,57720.0,3,Business & Operations Management
"Foreign Language and Literature Teachers, Postsecondary",25-1124,79350.0,19830.0,3,Business & Operations Management
"History Teachers, Postsecondary",25-1125,83820.0,18790.0,3,Business & Operations Management
"Philosophy and Religion Teachers, Postsecondary",25-1126,80260.0,20460.0,3,Business & Operations Management
"Family and Consumer Sciences Teachers, Postsecondary",25-1192,75870.0,2770.0,3,Business & Operations Management
"Recreation and Fitness Studies Teachers, Postsecondary",25-1193,77270.0,12630.0,3,Business & Operations Management
"Career/Technical Education Teachers, Postsecondary",25-1194,63820.0,114110.0,3,Business & Operations Management
"Preschool Teachers, Except Special Education",25-2011,38140.0,478780.0,3,Business & Operations Management
"Kindergarten Teachers, Except Special Education",25-2012,62680.0,108870.0,3,Business & Operations Management
"Elementary School Teachers, Except Special Education",25-2021,63970.0,1388390.0,3,Business & Operations Management
"Middle School Teachers, Except Special and Career/Technical Education",25-2022,64370.0,620090.0,3,Business & Operations Management
"Career/Technical Education Teachers, Middle School",25-2023,65030.0,16870.0,3,Business & Operations Management
"Secondary School Teachers, Except Special and Career/Technical Education",25-2031,72040.0,1065210.0,3,Business & Operations Management
"Career/Technical Education Teachers, Secondary School",25-2032,66270.0,111420.0,3,Business & Operations Management
"Special Education Teachers, Preschool",25-2051,64830.0,29510.0,3,Business & Operations Management
"Special Education Teachers, Middle School",25-2057,66810.0,95200.0,3,Business & Operations Management
"Special Education Teachers, Secondary School",25-2058,74260.0,163930.0,3,Business & Operations Management
"Special Education Teachers, All Other",25-2059,76580.0,33930.0,3,Business & Operations Management
"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",25-3011,61540.0,37310.0,3,Business & Operations Management
Self-Enrichment Teachers,25-3021,46800.0,332110.0,1,Mid-Wage Financial & Analytical Specialists
"Substitute Teachers, Short-Term",25-3031,41670.0,524770.0,1,Mid-Wage Financial & Analytical Specialists
Tutors,25-3041,43350.0,175070.0,3,Business & Operations Management
Archivists,25-4011,64550.0,7970.0,1,Mid-Wage Financial & Analytical Specialists
Curators,25-4012,63420.0,12150.0,3,Business & Operations Management
Museum Technicians and Conservators,25-4013,51440.0,12310.0,1,Mid-Wage Financial & Analytical Specialists
Librarians and Media Collections Specialists,25-4022,68270.0,133790.0,3,Business & Operations Management
Library Technicians,25-4031,44580.0,68690.0,1,Mid-Wage Financial & Analytical Specialists
Farm and Home Management Educators,25-9021,60220.0,8220.0,4,Quantitative/Technical Specialists & Managers
Instructional Coordinators,25-9031,77440.0,227760.0,3,Business & Operations Management
"Teaching Assistants, Postsecondary",25-9044,42910.0,164090.0,1,Mid-Wage Financial & Analytical Specialists
Art Directors,27-1011,114850.0,53070.0,3,Business & Operations Management
Craft Artists,27-1012,46080.0,4580.0,0,Niche/Specialized Lower-Mid Wage Roles
"Fine Artists, Including Painters, Sculptors, and Illustrators",27-1013,55490.0,11220.0,0,Niche/Specialized Lower-Mid Wage Roles
Special Effects Artists and Animators,27-1014,102030.0,19970.0,1,Mid-Wage Financial & Analytical Specialists
Commercial and Industrial Designers,27-1021,83910.0,33490.0,1,Mid-Wage Financial & Analytical Specialists
Fashion Designers,27-1022,80960.0,21450.0,3,Business & Operations Management
Floral Designers,27-1023,37360.0,40590.0,1,Mid-Wage Financial & Analytical Specialists
Graphic Designers,27-1024,62960.0,197830.0,1,Mid-Wage Financial & Analytical Specialists
Interior Designers,27-1025,67190.0,71500.0,3,Business & Operations Management
Merchandise Displayers and Window Trimmers,27-1026,39390.0,165220.0,0,Niche/Specialized Lower-Mid Wage Roles
Set and Exhibit Designers,27-1027,75240.0,10630.0,1,Mid-Wage Financial & Analytical Specialists
Producers and Directors,27-2012,90360.0,143120.0,3,Business & Operations Management
Athletes and Sports Competitors,27-2021,66710.0,15070.0,1,Mid-Wage Financial & Analytical Specialists
Coaches and Scouts,27-2022,47320.0,248950.0,3,Business & Operations Management
"Umpires, Referees, and Other Sports Officials",27-2023,40710.0,15780.0,1,Mid-Wage Financial & Analytical Specialists
Choreographers,27-2032,55310.0,2860.0,1,Mid-Wage Financial & Analytical Specialists
Music Directors and Composers,27-2041,73710.0,12540.0,1,Mid-Wage Financial & Analytical Specialists
Broadcast Announcers and Radio Disc Jockeys,27-3011,47340.0,21240.0,1,Mid-Wage Financial & Analytical Specialists
"News Analysts, Reporters, and Journalists",27-3023,62200.0,39250.0,3,Business & Operations Management
Public Relations Specialists,27-3031,74750.0,283380.0,3,Business & Operations Management
Editors,27-3041,77920.0,91690.0,3,Business & Operations Management
Technical Writers,27-3042,90390.0,45500.0,3,Business & Operations Management
Writers and Authors,27-3043,76910.0,47940.0,3,Business & Operations Management
Interpreters and Translators,27-3091,60170.0,52060.0,3,Business & Operations Management
Court Reporters and Simultaneous Captioners,27-3092,72420.0,12870.0,0,Niche/Specialized Lower-Mid Wage Roles
Audio and Video Technicians,27-4011,58100.0,70230.0,1,Mid-Wage Financial & Analytical Specialists
Broadcast Technicians,27-4012,59570.0,21110.0,1,Mid-Wage Financial & Analytical Specialists
Sound Engineering Technicians,27-4014,73130.0,13080.0,1,Mid-Wage Financial & Analytical Specialists
Photographers,27-4021,44660.0,51760.0,1,Mid-Wage Financial & Analytical Specialists
"Camera Operators, Television, Video, and Film",27-4031,74990.0,21550.0,1,Mid-Wage Financial & Analytical Specialists
Film and Video Editors,27-4032,75420.0,25610.0,1,Mid-Wage Financial & Analytical Specialists
Chiropractors,29-1011,79200.0,39630.0,3,Business & Operations Management
"Dentists, General",29-1021,170950.0,124390.0,4,Quantitative/Technical Specialists & Managers
Oral and Maxillofacial Surgeons,29-1022,352220.0,4910.0,2,Elite High-Wage Executives & Medical Specialists
Orthodontists,29-1023,289140.0,6210.0,2,Elite High-Wage Executives & Medical Specialists
Prosthodontists,29-1024,311180.0,870.0,2,Elite High-Wage Executives & Medical Specialists
Dietitians and Nutritionists,29-1031,76400.0,77570.0,4,Quantitative/Technical Specialists & Managers
Optometrists,29-1041,136570.0,42790.0,4,Quantitative/Technical Specialists & Managers
Pharmacists,29-1051,140910.0,321970.0,4,Quantitative/Technical Specialists & Managers
Physician Assistants,29-1071,135880.0,162150.0,4,Quantitative/Technical Specialists & Managers
Podiatrists,29-1081,160300.0,9680.0,4,Quantitative/Technical Specialists & Managers
Occupational Therapists,29-1122,100330.0,162450.0,3,Business & Operations Management
Physical Therapists,29-1123,102760.0,267330.0,3,Business & Operations Management
Radiation Therapists,29-1124,105310.0,17070.0,1,Mid-Wage Financial & Analytical Specialists
Recreational Therapists,29-1125,61960.0,14930.0,3,Business & Operations Management
Respiratory Therapists,29-1126,82280.0,139790.0,3,Business & Operations Management
Speech-Language Pathologists,29-1127,97870.0,183390.0,3,Business & Operations Management
Exercise Physiologists,29-1128,59460.0,8560.0,4,Quantitative/Technical Specialists & Managers
"Therapists, All Other",29-1129,77930.0,22640.0,3,Business & Operations Management
Veterinarians,29-1131,130100.0,83900.0,4,Quantitative/Technical Specialists & Managers
Registered Nurses,29-1141,97550.0,3379720.0,3,Business & Operations Management
Nurse Anesthetists,29-1151,236590.0,51840.0,2,Elite High-Wage Executives & Medical Specialists
Nurse Midwives,29-1161,134040.0,7920.0,4,Quantitative/Technical Specialists & Managers
Nurse Practitioners,29-1171,132300.0,323040.0,4,Quantitative/Technical Specialists & Managers
Audiologists,29-1181,95780.0,13660.0,4,Quantitative/Technical Specialists & Managers
Anesthesiologists,29-1211,391490.0,38760.0,2,Elite High-Wage Executives & Medical Specialists
Dermatologists,29-1213,328730.0,11370.0,2,Elite High-Wage Executives & Medical Specialists
Emergency Medicine Physicians,29-1214,335550.0,32880.0,2,Elite High-Wage Executives & Medical Specialists
Family Medicine Physicians,29-1215,244180.0,107510.0,2,Elite High-Wage Executives & Medical Specialists
General Internal Medicine Physicians,29-1216,256560.0,67150.0,2,Elite High-Wage Executives & Medical Specialists
Neurologists,29-1217,248560.0,10590.0,2,Elite High-Wage Executives & Medical Specialists
Obstetricians and Gynecologists,29-1218,292910.0,21260.0,2,Elite High-Wage Executives & Medical Specialists
"Pediatricians, General",29-1221,210040.0,39390.0,2,Elite High-Wage Executives & Medical Specialists
"Physicians, Pathologists",29-1222,312400.0,11110.0,2,Elite High-Wage Executives & Medical Specialists
Psychiatrists,29-1223,281870.0,27980.0,2,Elite High-Wage Executives & Medical Specialists
Radiologists,29-1224,420860.0,26770.0,2,Elite High-Wage Executives & Medical Specialists
"Physicians, All Other",29-1229,265930.0,342720.0,2,Elite High-Wage Executives & Medical Specialists
"Ophthalmologists, Except Pediatric",29-1241,300080.0,8950.0,2,Elite High-Wage Executives & Medical Specialists
Acupuncturists,29-1291,76040.0,7830.0,1,Mid-Wage Financial & Analytical Specialists
